CÓDIGO COMPLETO,REGIÓN,AUTORIDAD AMBIENTAL,RAZÓN SOCIAL,CATEGORÍA,SECTOR ,SUBSECTOR,DESCRIPCIÓN DE LA EMPRESA O NEGOCIO,CADENA PRODUCTIVA,MUNICIPIO,DEPARTAMENTO,AÑO DE VERIFICACIÓN ,VERSIÓN CRITERIOS DE VERIFICACIÓN,PLAN DE MEJORA PARA LLEGAR A NIVEL SATISFACTORIO,Participación Bioexpo ,Etapa Empresarial 
2014FBCCAM24,CENTRAL,CAM,GRUPO ASOCIATIVO SAN ISIDRO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Somos productores y comercializadores de café de alta calidad,café excelso y café tostado en grano y molido;  contribuyendo dia a dia por la sostenibilidad de nuestra organización y el bienestar de las familias, pero de igual manera velando por la preservacion  y conservacion  del medio ambiente.",Café,Acevedo,HUILA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCAM25,CENTRAL,CAM,INDUSTRIA DE CHOCOLATES RIVERA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Elaborar y comercializar chocolate de  mesa, chocolatería fina y coberturas a partir de cacao huilense de fino aroma y sabor, con perfiles sensoriales  a frutales, producido y beneficiado con prácticas limpias y amigables con el medio ambiente y procesado sin químicos artificiales.",Chocolates,Rivera,HUILA,2014,V1.1.,Sí,2015,Despegue
2014FBCCAM29,CENTRAL,CAM,QUINAYAS TIENDA CAFÉ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","La  empresa Quinayas Tienda Cafe se dedica a la comercialización de café tostado, molido y bebidas calientes y frias a base de cafe; su áreas de desempeño comercial esta ubicado en el Malecon plaza de artesanos local 50 de la ciudad de Neiva; el producto y servicio esta dirigido a todas las personas que deseen degustar de un buen cafe de calidad y una buena bebida a base de cafe.     ",Café,Neiva,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM32,CENTRAL,CAM,ACHIRAS MI RANCHITO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Empresa dedicada a realizar todo el proceso productivo de las famosas achiras Huilenses, pero con una marcada diferencia en cuanto a innovación en sus sabores y formas, además de la fortificación de todos sus productos.",Achiras,Pitalito,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCDA6,AMAZONÍA,CDA,ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS POR EL CAMBIO ECONÓMICO DEL GUAVIARE - ASOPROCEGUA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Pulpas (araza, borojo)",Arazá y Borojó,San José del Guaviare,GUAVIARE,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCAM34,CENTRAL,CAM,ASOCIACIÓN DE ARTESANOS DEL SUR DEL HUILA - ASHUARTE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"La Asociación de Artesanos del Sur del Huila elaboran artesanias en diferentes materiales limpios y reciclados como son: artesanias en tela, ceramica,arcilla,guadua o bambu,calzado en tejido, maroquineria, muñecos en trapo o material reciclado.",Artesanías,Pitalito,HUILA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCAM36,CENTRAL,CAM,ASOCIACIÓN DE PRODUCTORES ARTESANALES DE LA JAGUA - ARTEFIQUE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"La  Asociación de Artesanos del municipio de Gazon producen de manera manual todas sus artesanias con el fin de mantener  la tradicone  y no perder la cultura. Los productos que se elaboran son bolsos de todos los tamaños y diseños, recordatorios, billeteras y accesorios en fique.",Fique,Garzón,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM37,CENTRAL,CAM,COSMETICOS CAFECAO-VIDA.LU,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Elaboración y comercialización de productos cosméticos a base de cacao, productos apícolas y otros extractos naturales",Cosméticos,Rivera,HUILA,2014,V1.1.,Sí,2015,Despegue
2014FBCCAM4,CENTRAL,CAM,ASOCIACIÓN DE CACAOTEROS EMPRESARIOS DE  CAMPOALEGRE- ACEC,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","La Asociación de Cacaoteros Empresarios del Campolegre esta dedicada a la producción, Comerialización y Trasformación del cacao",Cacao,Campoalegre,HUILA,2014,V1.1.,Sí,No reporta ,Consolidación
2014FBCCAM41,CENTRAL,CAM,GRUPO ASOCIATIVO  AGROECOLÓGICO LOS YARUMOS ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"La  Asociación de Artesanos Los Yarumos del municipio de Teruel, elaboran sus artesanias en material reciclado; los productos que elaboran son bolso en fibra, tapetes y canasta en tapas de gaseosa plastica, aves en pepa de pino, cimios en coco, lenceria en retazos de tela, cofres en madera.",Artesanías,Teruel,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM42,CENTRAL,CAM,GRUPO ASOCIATIVO VINOS CANAAN,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,Produccion de vinos de manera artesanal de uva de agraz silvestre,Vino,Santa María,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM46,CENTRAL,CAM,TEJIFIBRAS NATURALES,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"La empresa Tejifibras Naturales elabora  artesanias utilitarias en fibra de platano, fique y lana de cordero; ubicado en el municipio de San Agustin.",Artesanías,San Agustín,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM49,CENTRAL,CAM,AGENCIA DE VIAJES OPERADORA BICI EMOCION,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La oferta son los ciclopaseos a los lugares más representativos del Desierto de la Tatacoa, se cuentamo con cincuenta (50) bicicletas todoterreno para adultos y jóvenes, y cinco (5) bicicletas todo terreno para niños; existe dotación de equipos de seguridad y mantenimiento, como cascos, chalecos reflectivos, botiquines, luces delanteras y traseras, bombas de inflar, herramientas y demás implementos. Para acompañamiento de los grupos, se ofrece el servicio de Auxiliares, formados para dirigir el recorrido por los trayectos establecidos y asistirlos ante cualquier eventualidad.",Ecoturismo,Villavieja,HUILA,2014,V1.1.,Sí,No reporta ,Inversión Inicial
2014FBCCAM52,CENTRAL,CAM,ASOCIACIÓN DE OPERADORES TURISTICOS  LA TATACOA ASOTUR,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Empresa prestadora de servicios de turismo. Paquetes turisticos, en el desierto de la Tatacoa, ubicado en el municipio de Villavieja. Sus clientes son todos los turista que desean conocer el habitad del desierto.",Ecoturismo,Villavieja,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM58,CENTRAL,CAM,CORPORACION PARA EL MONITOREO DE LA BIODIVERSIDAD DEL SUR - MASHIRAMO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La Corporación de Monitoreo de la Biodiversidad del Sur -Mashiramo-, es una iniciativa campesina creada en 2007, la cual se encuentra conformada por siete grupos comunitarios con incidencia directa sobre 600 familias del macizo colombiano, quienes se encargan de desarrollar trabajos de conservación y monitoreo de la biodiversidad en 5 municipios de los departamentos del Cauca y Huila (Santa Rosa, Pitalito San Agustín, Acevedo y Palestina).",Ecoturismo,Pitalito,HUILA,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCAM8,CENTRAL,CAM,ASOCIACIÓN DE PRODUCTORES DE CACAO ECOLÓGICO CUENCA RIO LAS CEIBAS - ASPROCAECO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",Produce cacao en el área de la cuenca del Rio La Ceibas de manera orgánica y luego es trasformado en chocolate campesino,Cacao,Neiva,HUILA,2014,V1.1.,Sí,No reporta ,Inversión Inicial
2015CORPAMAGCORPAMAG1,CARIBE,CORPAMAG,CI AGROSOSA LTDA,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"Empresa productora, comercializadora de insumos y productos agrícolas de alta calidad, los cuales facilitan a los clientes ejecutar actividades productivas mas eficientes y sustentables. ",Abono Orgánico,Santa Marta,MAGDALENA,2016,V1.2.,PENDIENTE,No reporta ,PENDIENTE
2014FBCCAR68,CENTRAL,CAR,SUASIE ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Suasie, ubicada en el municipio de Guasca en el Parque Nacional Natural de Chingaza, es una iniciativa de ecoturismo que ofrece servicios de Guianza ambiental y senderismo.
Suasie, es una iniciativa ubicada en el municipio de Guasca en el Parque Nacional Natural de Chingaza. Desde 2006, se dedica a fortalecer, desarrollar, prevenir y divulgar actividades de ecoturismo y agroturismo con servicios de guianza e interpretación ambiental en sitios atractivos como las lagunas de Siecha, la Reserva Biológica del Encenillo y la Capilla de Siecha.  ",Ecoturismo,Guasca,CUNDINAMARCA,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCDMB19,CENTRAL,CDMB,CORPORACIÓN BUEN AMBIENTE - CORAMBIENTE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Corporación Buen Ambiente - Corambiente, se encuentra ubicada en Bucaramanga- Santander,  es una iniciativa que se dedica a la transformación, recolección y comercializador de ingredientes naturales para la industria alimenticia como el chachafruto  y tomate ",Chontaduro y Tomate,Bucaramanga,SANTANDER,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCAR66,CENTRAL,CAR,RESERVA BIOLÓGICA ENCENILLO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Reserva Biológica Encenillo, es una iniciativa de ecoturismo en la reserva de la sociedad civil del mismo nombre, la cual se encuentra ubicada en el municipio de Guasca, departamento de Cundinamarca. Esta reserva se encuentra en un ecosistema de bosque alto andino y es considerado como uno de los últimos relictos de la Cordillera Oriental, siendo ideal para los amantes de la fauna por lo que fácilmente durante sus recorridos tendrán la oportunidad de avistar diferentes clases de aves y mamíferos como el guache y el armadillo; por otra parte, se puede practicar el senderismo sobre rutas establecidas como la de El Horno, El Cusumbo, El Colibrí y/o Las Orquídeas.
",Ecoturismo,Guasca,CUNDINAMARCA,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCAR10,CENTRAL,CAR,ASOCIACIÓN DE PROSUMIDORES AGROECOLÓGICOS SECCIONAL SORACÁ - AGROSOLIDARIA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Es una forma organizativa que integra a pequeños productores, procesadores, distribuidores y consumidores dentro de la cadena agroalimentaria, para apoyarse mutuamente en los requerimientos de la financiación, la producción, la transformación, la distribución y el consumo. Agrosolidaria actúa a través de Seccionales municipales, actualmente posee más de 50 seccionales en 9 departamentos de Colombia,la seccional Soracá ubicada en el mismo municipio de su nombre en el departamento de Boyacá desde el año 2006 ha apoyado este proceso con la producción, transformación y comercialización de tubérculos, cereales, semilla de quinua y harina, entre otros productos agrícolas.",Varios agrosistemas sostenibles ,Vianí,CUNDINAMARCA,2014,V1.1.,Sí,2015,No Reporta 
2014FBCCARDER51,CENTRAL,CARDER,ASOCIACIÓN COMUNITARIA YARUMO BLANCO,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La Asociación Comunitaria Yarumo Blanco, es una iniciativa de ecoturismo comunitario ubicada en la ciudad de Pereira, departamento de Risaralda. Constituida desde 2009 por habitantes de las veredas La Suiza, La Florida, El Cedralito, El Plan, El Porvenir y de otras zonas cercanas a la cuenca del río Otún, ofrecen a sus visitantes servicios de ecoturismo al interior del Santuario de Fauna y Flora Otún-Quimbaya, educación ambiental, hospedaje, gastronomía, actividades de esparcimiento y recreación, consultorías, asesorías y construcción de equipamiento. 
",Ecoturismo,Pereira,RISARALDA,2014,V1.1.,Sí,No reporta ,Consolidación
2014FBCCARDER57,CENTRAL,CARDER,CORPORACIÓN AMBIENTALISTA LOS TUCANES DEL RAYO - CATURA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La Corporación Ambientalista Los Tucanes del Rayo, Catura se encuentra ubicada en la vereda El Rayo, municipio de Marsella, departamento de Risaralda. Constituida como asociación sin ánimo de lucro desde 2012, esta organización se encarga de ofrecer y desarrollar actividades ecoturísticas, monitoreo de la biodiversidad y observación de aves al interior del Parque Municipal Natural La Nona. Así mismo, cuentan con instalaciones para el alojamiento y servicio de restaurante para sus visitantes.",Ecoturismo,Marsella ,RISARALDA,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCARDER61,CENTRAL,CARDER,FUNDACIÓN AMBIENTAL GRUPOS ECOLÓGICOS DE RISARALDA-FUNDAGER,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"La Fundación Ambiental de Grupos Ecológicos de Risaralda, Fundaguer, se encuentra ubicada en el municipio de Pueblo Rico, departamento de Risaralda. Esta iniciativa sin ánimo de lucro con más de 20 años de experiencia, se encarga de suministrar a sus visitantes experiencias ecoturísticas en la zona de amortiguamiento del Parque Nacional Natural Tatamá, de Parques Nacionales Naturales de Colombia, con énfasis en la educación ecológica, la educación ambiental y la pedagogía ambiental dirigida a sectores formales e informales. Así mismo, entre los servicios ofrecidos se encuentra el de alimentación y alojamiento.",Ecoturismo,Pueblo Rico ,RISARALDA,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCARDER64,CENTRAL,CARDER,NATURE TRIPS COLOMBIA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Nature Trips, está ubicada en la ciudad de Pereira, departamento de Risaralda.  Constituida desde 2012, es una empresa especializada en turismo de naturaleza. Ofrece servicios de asesoría, consultoría y capacitación en turismo; además, ofrece diferentes clases de planes turísticos a diferentes regiones de Colombia, promoviendo con énfasis el Paisaje Cultural Cafetero, las actividades de observación de aves, el comportamiento de fauna silvestre y doméstica, historia natural, 4 WD Tours, aventura al aire libre, outdoor training & team building.",Ecoturismo,Pereira,RISARALDA,2014,V1.1.,No,2015,Consolidación
2014FBCCARDIQUE7,CARIBE,CARDIQUE,ASOCIACIÓN DE PRODUCTORES DE CACAO DE LOS MONTES DE MARÍA - ASPROCAMM,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Su actividad económica es la producción y comercialización de ingredientes naturales como el cacao, aguacate, yuca, maíz, ñame, plátano, flor de Jamaica, chicharrones entre otros para la industria alimenticia, además ofrece a los productores asociados y no asociados: asistencia técnica en toda clase de cultivos, proceso de injertación en cacao, establecimiento de viveros, control de la enfermedad del aguacate y otras asesorías encaminadas al desarrollo de proyectos agropecuarios.",Varios agrosistemas sostenibles ,El Carmen de Bolívar,BOLIVAR,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCARSUCRE9,CARIBE,CARSUCRE,ASOCIACIÓN DE PRODUCTORES DE YUCA DE LA SIRIA  - ASOPROYUS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Su principal actividad económica es la de producir, transformar y comercializar yuca en chip, harina y yuca fresca.  Esta iniciativa tiene más de 10 años de experiencia y ha podido afianzar clientes como Colanta, Italcol, Contegral, Concepal, fábricas de concentrados para animales, lecherías entre otros, ofreciendo entre otros servicios la fabricación de bioinsumos: bocachi, micorrisa, lombriabonos, bioles (Úrea orgánica), repelentes para insecto (Nin), Fungicidas, vivero con plántulas de yuca y ñame, agroforestería frutales y maderables, picado y secado de yuca,  capacitaciones en cultivo y procesamiento de la yuca a escala industrial, en abonos orgánicos, procesos de picado y secado de yuca y la fabricación de agroinsumos entre otras.",Varios agrosistemas sostenibles ,Toluviejo,SUCRE,2014,V1.1.,Sí,No reporta ,No Reporta 
2016ONVSCORPOCESAR13,CARIBE,CORPOCESAR,FINCA GANADERA DOBLE PROPOSITO CASANARE,ECOPRODUCTOS INDUSTRIALES,APROVECHAMIENTO Y VALORACIÓN DE RESIDUOS,N.A,"Finca Productora ganadera de doble propósito, con especies menores.",Ganadería,San Diego,CESAR,2016,V1.2.,No,No reporta ,No Reporta
2014FBCCODECHOCÓ56,PACÍFICO,CODECHOCÓ,CENTRO DE VISITANTES  UTRIA - MANO CAMBIADA ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"El Centro de visitantes Utria - Mano Cambiada, está ubicada en el municipio de Bahía Solano, departamento del Chocó. Es una organización comunitaria sin ánimo de lucro, encargada de prestar servicios eco turísticos en el Parque Nacional Natural Utría, con Parques Nacionales Naturales de Colombia. Al interior, los visitantes con sus respectivos guías, pueden realizar actividades de interpretación ambiental, senderismo submarino, acuático y terrestre, observación de fauna y flora, observación de aves, avistamiento de ballenas, observación de tortugas, buceo y careteo entre otras muchas más. Además ofrecen servicios de alojamiento, manutención y transporte. ",Ecoturismo,BahÍa Solano ,CHOCÓ,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCODECHOCÓ59,PACÍFICO,CODECHOCÓ,ESTACIÓN BIOLÓGICA AMBIENTAL MICHITÁ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,ECOTURISMO TURISMO DE NATURALEZA,"Estación Biológica Ambiental Michitá, es una iniciativa de ecoturismo que hace parte de las reservas a cargo de la Fundación Natura, se encuentra ubicada en el Corregimiento de Pacurita en la ciudad de Quibdó del departamento del CHOCÓ. Los principales servicios que ofrece a sus visitantes son recorridos guiados, talleres de sensibilización ambiental, organización y atención de eventos empresariales o familiares.  ",Ecoturismo,Quibdó,CHOCÓ,2014,V1.1.,No,No reporta ,No Reporta 
2014FBCCORALINA17,CARIBE,CORALINA,COOPERATIVA FISHING AND FARMING ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Cooperativa fishing and farming, es una iniciativa que se encuentra ubicada en Old Town - San Andres, dedicada a la comercialización de pescado fresco como por ejemplo Pargo rojo, Langosta y caracol ",Pesca,Providencia,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2014,V1.1.,Sí,No reporta ,Consolidación
2014FBCCORALINA27,CARIBE,CORALINA,NONILAND Y HONEYLAND ,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Su actividad principal se reconoce dentro de dos líneas de acción, la primera hace referencia a la producción, transformación y comercialización de la miel y sus derivados como el propóleos, jalea real y polen, los cuales son producidos por más de  20 mil reinas europeas puras en la temporada de primavera y más de seis mil colmenas en la polinización de almendras, su segunda línea de acción hace referencia a la transformación y comercialización de fruta de noni la cual es comprada a los isleños, garantizando así que toda la producción se encuentre libre de químicos y fertilizantes, otros productos que ofrece la empresa especialmente en las tiendas naturistas de todo el país son el extracto, jabón, pulpa y vino de noni.",Apicultura,San Andrés,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2014,V1.1.,Sí,No reporta ,No Reporta 
